,NSTG,ARWR,ACER,OMER,HIIQ,CLF,DDD,ICPT,AMRN,EXAS,PCRX,PTCT,INSY,FATE,TNDM,DRNA,ALDX,NERV,PRQR,BOOT,FRPT,NVTA,KALV,VKTX,TDOC,NVCR,RETA,TWLO,TCMD,TTD
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,0.0,0.0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0
6,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1,1.0,0.0,1.0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1
7,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0
8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1
9,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
11,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1
12,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
