,PTCT,RETA,DRNA,ARWR,KALV,TNDM,INSY,VKTX,CLF,OMER,FATE,NVTA,NERV,AMRN,ACER,ALDX,PRQR,HIIQ,TWLO,BOOT,NSTG,ICPT,DDD,EXAS,TTD,FRPT,TDOC,PCRX,NVCR,TCMD
0,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,0,1,1,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
1,1.0,1,1,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,0.0,1.0,1.0,1.0,1,0,1,1.0,1,1
2,0.0,1,0,0.0,1,1,1,0,0.0,0.0,0,1,1,1,0.0,1,0,0.0,0,1,0.0,1.0,0.0,0.0,1,1,0,1.0,1,1
3,1.0,1,0,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,0,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,0.0,1,1
4,1.0,1,1,1.0,0,1,1,1,1.0,1.0,1,1,1,1,0.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1,1
5,0.0,0,0,0.0,1,1,1,1,1.0,1.0,1,1,0,0,1.0,1,1,1.0,1,0,0.0,0.0,1.0,1.0,0,1,1,0.0,1,1
6,1.0,1,1,1.0,1,1,1,1,0.0,1.0,1,1,1,1,0.0,1,1,1.0,1,0,1.0,0.0,1.0,1.0,1,1,0,0.0,0,1
7,0.0,0,0,0.0,1,1,1,1,1.0,1.0,1,0,1,1,1.0,1,0,1.0,1,0,1.0,1.0,1.0,1.0,0,0,1,1.0,1,1
8,1.0,1,1,1.0,0,1,1,1,1.0,0.0,1,1,1,0,0.0,1,0,1.0,1,1,1.0,1.0,1.0,0.0,1,0,1,1.0,1,1
9,0.0,1,0,0.0,1,1,1,1,1.0,0.0,0,1,1,0,1.0,1,1,1.0,0,1,1.0,0.0,1.0,0.0,1,0,0,0.0,0,0
10,1.0,1,1,1.0,1,0,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,0,1.0,1.0,1.0,1.0,1,0,0,1.0,0,1
11,1.0,1,1,1.0,1,1,0,1,0.0,0.0,1,0,1,0,1.0,0,1,1.0,1,0,1.0,0.0,1.0,1.0,1,1,1,1.0,1,1
12,1.0,1,1,0.0,0,1,1,1,1.0,0.0,0,1,1,0,1.0,1,1,1.0,0,1,1.0,1.0,1.0,1.0,0,1,0,1.0,1,0
13,1.0,1,1,1.0,0,1,1,1,0.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,1.0,1.0,0.0,0.0,1,1,1,1.0,1,1
14,1.0,0,1,1.0,0,1,1,1,1.0,1.0,1,0,0,1,1.0,1,1,1.0,1,1,0.0,1.0,1.0,0.0,1,1,0,1.0,1,1
15,1.0,1,1,1.0,0,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,0,1,1.0,1,1
